"Business Name","Address","Phone","Rating","Review Count","Has Website","Website URL","Weaknesses","Cold Email","Contact Email","Email Sent","Call Script"
"La Terraza Little Havana","1440 SW 8th St, Miami, FL 33135, USA","(786) 518-2196","4.6","98","No","","no website listed","Calle Ocho is one of those strips where foot traffic does the work, but most people still Google a place before they walk in. Right now nothing comes up for La Terraza when you search online. I'm Nicholas, a marketing consultant here in Miami — I help local restaurants get a clean, working website up fast so they stop losing those searches. If that sounds useful, happy to talk for ten minutes whenever works. 

Nicholas","not found","",""
"Tumbao","1652 SW 8th St, Miami, FL 33135, USA","(786) 827-8040","4.7","402","No","","no website listed","Tumbao on Calle Ocho is the kind of spot people remember after one visit, but right now nothing comes up when someone searches for you online.

No website means you're basically invisible to anyone who didn't walk past the door.

I'm Nicholas, a marketing consultant here in Miami — I build simple, clean sites that get restaurants showing up in search fast.

If you're curious what that'd look like for Tumbao, I'm happy to walk you through it over a quick call.

Nicholas","not found","",""
"Mofongo Restaurant Calle 8","1672 SW 8th St, Miami, FL 33135, USA","(786) 359-4418","4.5","3676","No","","no website listed","Calle 8 gets so much foot traffic but most people are searching before they walk in, and right now Mofongo doesn't have a website coming up when they do. That's a lot of hungry customers checking Google and not finding a menu or hours. I'm Nicholas, a marketing consultant here in Miami, and I build simple, clean sites for local restaurants that start bringing in searches fast. If you'd ever want to talk about what that could look like, I'm around the neighborhood. Worth a quick conversation?

Nicholas","not found","",""
"El Rincon Asturiano","225 SW 17th Ave, Miami, FL 33135, USA","(305) 643-8822","4.6","1043","No","","no website listed","225 SW 17th Ave is right in the thick of Little Havana, and El Rincon Asturiano has been a staple over there for years. I noticed when you search for the restaurant online, there's no website coming up — just scattered directory listings. I'm a marketing consultant based here in Miami, and I could get a clean, simple site built that actually shows up when people search for you. If that sounds useful, happy to talk through it sometime. 

Nicholas","not found","",""
"Dominican Chimi","2595 NW 37th St, Miami, FL 33142, USA","(786) 970-9894","4.5","248","No","","no website listed","Dominican Chimi on 37th Street is right in the heart of Allapattah, and that area is blowing up with new foot traffic faster than most people realize.

When I searched for you guys online, nothing came up — no website, no menu, nothing for someone hungry and Googling nearby spots to find you.

I'm Nicholas, a marketing consultant here in Miami, and I build simple, clean websites for local restaurants that start bringing in online orders fast.

If you're curious what that would look like for Dominican Chimi, I'm around the neighborhood — happy to stop by and talk it through over a chimi.

Nicholas","not found","",""
"Taqueria Los Chilangos 1","1386 NW 29th St, Miami, FL 33142, USA","(786) 704-1544","5","44","No","","no website listed","Taqueria Los Chilangos on 29th Street in Allapattah — that stretch has been blowing up and your spot clearly has a following already. Right now though, searching for you online pulls up nothing besides a pin on the map. I'm Nicholas, a marketing consultant here in Miami, and I build simple, clean websites for local restaurants that actually show up when people search. Could be a quick win for you if you're interested. Happy to talk whenever works.

Nicholas","not found","",""
"La oficina","2148 NW 17th Ave, Miami, FL 33142, USA","(786) 280-6826","5","1","No","","no website listed; very few reviews (only 1)","That stretch of 17th Ave in Allapattah is changing fast, and La oficina is right in the middle of it. When I looked you up, though, there's no website and barely any presence on Google — which means most people driving by have no way to find you before they get there. I'm Nicholas, a marketing consultant here in Miami, and I can get you a clean site and a Google profile that actually brings people through the door. If that sounds useful, I'm around to talk whenever.

Nicholas","not found","",""
"Capital Chimi","2970 NW 17th Ave, Miami, FL 33142, USA","(786) 933-0009","4.5","29","No","","no website listed","Capital Chimi on 17th Ave is right in the heart of Allapattah, and that area is blowing up with new foot traffic every month. When I searched for you online, though, nothing came up — no website at all, which means people looking for chimis nearby are finding other spots first. I'm Nicholas, a marketing consultant here in Miami, and I build clean, simple websites that get local restaurants showing up on Google fast. If you're curious what that would look like for Capital Chimi, I'm around to talk whenever.

Nicholas","not found","",""
"GUEMBO'S AND GRILL","2055 NW 22nd Ave, Miami, FL 33142, USA","(786) 536-2929","3.9","107","No","","no website listed; low star rating (3.9 ★)","That stretch of NW 22nd Ave near Allapattah stays busy, and Guembo's has clearly built a real following off word of mouth alone. Right now though, someone searching for you online isn't finding a website — just a 3.9 on Google that doesn't tell the full story. I'm Nicholas, a marketing consultant here in Miami, and I help restaurants like yours get a site up and start turning those reviews around so the online reputation matches the actual food. If you're curious what that'd look like for Guembo's, I'm around to talk whenever.

Nicholas","not found","",""
"TAKEROLOKO Allapattah","2728 NW 32nd St, Miami, FL 33142, USA","(786) 299-8177","4.9","294","No","","no website listed","Allapattah's been changing fast but TAKEROLOKO still feels like it belongs on that stretch of 32nd — that's a good thing. Right now though, nothing comes up when someone searches for you online besides a few directory listings. I'm a marketing consultant based here in Miami, and I could get you a clean site up and running that actually brings people through the door. If that sounds useful, I'm around to talk whenever works for you.

Nicholas","not found","",""
"Papo Llega Y Pon","2928 NW 17th Ave, Miami, FL 33142, USA","(305) 458-9917","4.2","659","No","","no website listed","Papo Llega Y Pon is one of those spots on 17th Ave in Allapattah that people only find if they already know — which is a shame because the food speaks for itself. Right now nothing comes up when someone searches for you online, so you're basically invisible to anyone who isn't already in the neighborhood. I'm Nicholas, a marketing consultant here in Miami, and I can get you a clean website and Google listing that actually brings new people through the door. If that sounds useful, I'm around to talk whenever works for you.

Nicholas","not found","",""
"DELFINA’S CHIMI","2345 NW 36th St, Miami, FL 33142, USA","(786) 346-6041","4","51","No","","no website listed","DELFINA'S CHIMI on 36th Street is in one of the busiest corridors in Allapattah, especially with how much that neighborhood has blown up the last couple years. When I searched for you guys online though, nothing comes up — no website at all. I'm Nicholas, a marketing consultant here in Miami, and I build simple, clean sites for local restaurants that actually start showing up in Google searches. A lot of the foot traffic around there is already looking for exactly what you serve. If you ever want to talk about it, I'm around — happy to stop by.

Nicholas","not found","",""
